0 0 1 1 1  R5[8]  R5[7]  R5[6]  R5[5]  R5[4]  R5[1]  R4[3]  R4[2]  R4[1]  R4[0]  R3[9]  R0[3]
1 0 1 0 0 1 0 0 0 0 1 1 1 1 1  R15[5] 1
2 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 0
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 R48[4] R48[3]  R48[2]  R48[1]  R48[0]  R47[12]  R47[11]  R47[10]  R47[9]  R47[8]  R47[7] 0 0 0 0 0
5 0  R49[4] R49[3] R49[2] R49[1] R49[0] R48[14] R48[13] R48[12] R48[11] R48[10] R48[9] R48[8] R48[7] R48[6] R48[5]
6 0 0 0 R50[10] R50[9] R50[8] 1 1 0 0 0 0 0 0 0 0
7 R55[6] R53[6] 1 R53[2] R53[1] R53[0] 1 0 1 0 0 0 0 0 0 0
8 1 0 0 0 0 0 1 R58[4] R58[3] R58[2] R58[1] R58[0] 0 R55[9] R55[8] R55[7]
9 0 1 R60[15] R60[14] R60[13] R60[12] R60[3] R60[2] R60[1] R60[0] R59[9] R59[8] R59[7] R59[6] R59[5] R59[4]
10 R65[8] R65[7] R65[6] R65[5] R65[4] 1 0 0 0 0 R64[9] R64[8] R64[7] R64[6] R64[5] 0
11 0 0 0 R69[9] R69[8] R69[7] R69[6] R69[5] 0 0 1 R66[3] R66[2] R66[1] R66[0] R65[9]
12 R74[5] 0 0 1 R71[3] R71[2] R71[1] R71[0] R70[9] R70[8] R70[7] R70[6] R70[5] R70[4] 1 0
13 R76[0] R75[9] R75[8] R75[7] R75[6] R75[5] R75[4] 1 0 0 0 0 R74[9] R74[8] R74[7] R74[6]
14 0 0 0 0 0 R79[3] R79[2] R79[1] R79[0] R76[9] R76[8] R76[7] R76[6] R76[3] R76[2] R76[1]
15 0 0 0 0 0 0 R81[3] 1 0 0 0 0 0 0 R80[3] 0
16 R1[6] R1[5] R1[4] R1[3] R1[2] R1[1] R1[0] R0[15] R0[14] R0[13] R0[12] 0 R0[10] 0 R0[8] R0[0]
17 R2[6] R2[5] R2[4] R2[3] R2[2] R2[1] R2[0] R1[15] R1[14] R1[13] R1[12] R1[11] R1[10] R1[9] R1[8] R1[7]
18 0 R5[3] R5[2] R4[7] R4[6] R4[5] R4[4] R3[4] R3[3] R2[13] R2[12] R2[11] R2[10] R2[9] R2[8] R2[7]
19 R24[15] R24[12] R24[11] R24[10] R24[9] R24[8] 0 0 R24[5] R24[4] R24[3] R24[2] R24[1] R24[0] 0 0
20 R27[0] 0 R25[14] R25[13] R25[12] R25[11] R25[10] R25[9] R25[7] R25[6] R25[5] R25[4] R25[3] R25[2] R25[1] R25[0]
21 R30[14] R30[13] R30[12] R30[11] R30[10] R30[9] R30[8] R30[7] R30[6] R30[5] R30[4] R30[3] R30[2] R30[1] R30[0] R27[1]
22 R31[15] R31[14] R31[13] R31[12] R31[11] R31[10] R31[9] R31[8] R31[7] R31[6] R31[5] R31[4] R31[3] R31[2] R31[1] R31[0]
23 R33[7] R33[6] R33[5] R33[4] R33[3] R33[2] R33[1] R33[0] R32[7] R32[6] R32[5] R32[4] R32[3] R32[2] R32[1] R32[0]
24 R34[7] R34[6] R34[5] R34[4] R34[3] R34[2] R34[1] R34[0] R33[15] R33[14] R33[13] R33[12] R33[11] R33[10] R33[9] R33[8]
25 R43[10] R43[9] R43[8] R43[7] R43[6] R43[5] R43[4] R43[3] R43[2] R43[1] R43[0] R42[5] R42[3] R42[2] R42[1] R41[15]
